词典中最大码字：255; 输入码字：91，对应词条：91; 输出词条: 91没有新词条 
词典中最大码字：256; 输入码字：93，对应词条：93; 输出词条: 93; 新词条：9193
词典中最大码字：257; 输入码字：256，对应词条：91-93; 输出词条: 91-93; 新词条：9391
词典中最大码字：258; 输入码字：90，对应词条：90; 输出词条: 90; 新词条：91-9390
词典中最大码字：259; 输入码字：93，对应词条：93; 输出词条: 93; 新词条：9093
词典中最大码字：260; 输入码字：85，对应词条：85; 输出词条: 85; 新词条：9385
词典中最大码字：261; 输入码字：260，对应词条：93-85; 输出词条: 93-85; 新词条：8593
词典中最大码字：262; 输入码字：88，对应词条：88; 输出词条: 88; 新词条：93-8588
词典中最大码字：263; 输入码字：85，对应词条：85; 输出词条: 85; 新词条：8885
词典中最大码字：264; 输入码字：87，对应词条：87; 输出词条: 87; 新词条：8587
词典中最大码字：265; 输入码字：84，对应词条：84; 输出词条: 84; 新词条：8784
词典中最大码字：266; 输入码字：87，对应词条：87; 输出词条: 87; 新词条：8487
词典中最大码字：267; 输入码字：79，对应词条：79; 输出词条: 79; 新词条：8779
词典中最大码字：268; 输入码字：86，对应词条：86; 输出词条: 86; 新词条：7986
词典中最大码字：269; 输入码字：79，对应词条：79; 输出词条: 79; 新词条：8679
词典中最大码字：270; 输入码字：81，对应词条：81; 输出词条: 81; 新词条：7981
词典中最大码字：271; 输入码字：78，对应词条：78; 输出词条: 78; 新词条：8178
词典中最大码字：272; 输入码字：271，对应词条：81-78; 输出词条: 81-78; 新词条：7881
词典中最大码字：273; 输入码字：80，对应词条：80; 输出词条: 80; 新词条：81-7880
词典中最大码字：274; 输入码字：77，对应词条：77; 输出词条: 77; 新词条：8077
词典中最大码字：275; 输入码字：80，对应词条：80; 输出词条: 80; 新词条：7780
词典中最大码字：276; 输入码字：72，对应词条：72; 输出词条: 72; 新词条：8072
词典中最大码字：277; 输入码字：75，对应词条：75; 输出词条: 75; 新词条：7275
词典中最大码字：278; 输入码字：277，对应词条：72-75; 输出词条: 72-75; 新词条：7572
词典中最大码字：279; 输入码字：71，对应词条：71; 输出词条: 71; 新词条：72-7571
词典中最大码字：280; 输入码字：74，对应词条：74; 输出词条: 74; 新词条：7174
词典中最大码字：281; 输入码字：280，对应词条：71-74; 输出词条: 71-74; 新词条：7471
词典中最大码字：282; 输入码字：66，对应词条：66; 输出词条: 66; 新词条：71-7466
词典中最大码字：283; 输入码字：68，对应词条：68; 输出词条: 68; 新词条：6668
词典中最大码字：284; 输入码字：283，对应词条：66-68; 输出词条: 66-68; 新词条：6866
词典中最大码字：285; 输入码字：65，对应词条：65; 输出词条: 65; 新词条：66-6865
词典中最大码字：286; 输入码字：68，对应词条：68; 输出词条: 68; 新词条：6568
词典中最大码字：287; 输入码字：65，对应词条：65; 输出词条: 65; 新词条：6865
词典中最大码字：288; 输入码字：67，对应词条：67; 输出词条: 67; 新词条：6567
词典中最大码字：289; 输入码字：59，对应词条：59; 输出词条: 59; 新词条：6759
词典中最大码字：290; 输入码字：63，对应词条：63; 输出词条: 63; 新词条：5963
词典中最大码字：291; 输入码字：59，对应词条：59; 输出词条: 59; 新词条：6359
词典中最大码字：292; 输入码字：62，对应词条：62; 输出词条: 62; 新词条：5962
词典中最大码字：293; 输入码字：292，对应词条：59-62; 输出词条: 59-62; 新词条：6259
词典中最大码字：294; 输入码字：58，对应词条：58; 输出词条: 58; 新词条：59-6258
词典中最大码字：295; 输入码字：62，对应词条：62; 输出词条: 62; 新词条：5862
词典中最大码字：296; 输入码字：54，对应词条：54; 输出词条: 54; 新词条：6254
词典中最大码字：297; 输入码字：56，对应词条：56; 输出词条: 56; 新词条：5456
词典中最大码字：298; 输入码字：53，对应词条：53; 输出词条: 53; 新词条：5653
词典中最大码字：299; 输入码字：298，对应词条：56-53; 输出词条: 56-53; 新词条：5356
词典中最大码字：300; 输入码字：55，对应词条：55; 输出词条: 55; 新词条：56-5355
词典中最大码字：301; 输入码字：53，对应词条：53; 输出词条: 53; 新词条：5553
词典中最大码字：302; 输入码字：55，对应词条：55; 输出词条: 55; 新词条：5355
词典中最大码字：303; 输入码字：47，对应词条：47; 输出词条: 47; 新词条：5547
词典中最大码字：304; 输入码字：50，对应词条：50; 输出词条: 50; 新词条：4750
词典中最大码字：305; 输入码字：304，对应词条：47-50; 输出词条: 47-50; 新词条：5047
词典中最大码字：306; 输入码字：46，对应词条：46; 输出词条: 46; 新词条：47-5046
词典中最大码字：307; 输入码字：50，对应词条：50; 输出词条: 50; 新词条：4650
词典中最大码字：308; 输入码字：46，对应词条：46; 输出词条: 46; 新词条：5046
词典中最大码字：309; 输入码字：49，对应词条：49; 输出词条: 49; 新词条：4649
词典中最大码字：310; 输入码字：42，对应词条：42; 输出词条: 42; 新词条：4942
词典中最大码字：311; 输入码字：49，对应词条：49; 输出词条: 49; 新词条：4249
词典中最大码字：312; 输入码字：41，对应词条：41; 输出词条: 41; 新词条：4941
词典中最大码字：313; 输入码字：44，对应词条：44; 输出词条: 44; 新词条：4144
词典中最大码字：314; 输入码字：41，对应词条：41; 输出词条: 41; 新词条：4441
词典中最大码字：315; 输入码字：315，码表尚未生成, entry = 41; 输出词条: 41; 新词条：4141
词典中最大码字：316; 输入码字：41，对应词条：41; 输出词条: 41; 新词条：41-4141
词典中最大码字：317; 输入码字：35，对应词条：35; 输出词条: 35; 新词条：4135
词典中最大码字：318; 输入码字：40，对应词条：40; 输出词条: 40; 新词条：3540
词典中最大码字：319; 输入码字：35，对应词条：35; 输出词条: 35; 新词条：4035
词典中最大码字：320; 输入码字：35，对应词条：35; 输出词条: 35; 新词条：3535
词典中最大码字：321; 输入码字：34，对应词条：34; 输出词条: 34; 新词条：3534
词典中最大码字：322; 输入码字：321，对应词条：35-34; 输出词条: 35-34; 新词条：3435
词典中最大码字：323; 输入码字：34，对应词条：34; 输出词条: 34; 新词条：35-3434
词典中最大码字：324; 输入码字：27，对应词条：27; 输出词条: 27; 新词条：3427
词典中最大码字：325; 输入码字：34，对应词条：34; 输出词条: 34; 新词条：2734
词典中最大码字：326; 输入码字：26，对应词条：26; 输出词条: 26; 新词条：3426
词典中最大码字：327; 输入码字：29，对应词条：29; 输出词条: 29; 新词条：2629
词典中最大码字：328; 输入码字：327，对应词条：26-29; 输出词条: 26-29; 新词条：2926
词典中最大码字：329; 输入码字：327，对应词条：26-29; 输出词条: 26-29; 新词条：26-2926
词典中最大码字：330; 输入码字：21，对应词条：21; 输出词条: 21; 新词条：26-2921
词典中最大码字：331; 输入码字：26，对应词条：26; 输出词条: 26; 新词条：2126
词典中最大码字：332; 输入码字：21，对应词条：21; 输出词条: 21; 新词条：2621
词典中最大码字：333; 输入码字：333，码表尚未生成, entry = 21; 输出词条: 21; 新词条：2121
词典中最大码字：334; 输入码字：21，对应词条：21; 输出词条: 21; 新词条：21-2121
词典中最大码字：335; 输入码字：20，对应词条：20; 输出词条: 20; 新词条：2120
词典中最大码字：336; 输入码字：21，对应词条：21; 输出词条: 21; 新词条：2021
词典中最大码字：337; 输入码字：15，对应词条：15; 输出词条: 15; 新词条：2115
词典中最大码字：338; 输入码字：20，对应词条：20; 输出词条: 20; 新词条：1520
词典中最大码字：339; 输入码字：15，对应词条：15; 输出词条: 15; 新词条：2015
词典中最大码字：340; 输入码字：15，对应词条：15; 输出词条: 15; 新词条：1515
词典中最大码字：341; 输入码字：12，对应词条：12; 输出词条: 12; 新词条：1512
词典中最大码字：342; 输入码字：14，对应词条：14; 输出词条: 14; 新词条：1214
词典中最大码字：343; 输入码字：342，对应词条：12-14; 输出词条: 12-14; 新词条：1412
词典中最大码字：344; 输入码字：6，对应词条：6; 输出词条: 6; 新词条：12-146
词典中最大码字：345; 输入码字：14，对应词条：14; 输出词条: 14; 新词条：614
词典中最大码字：346; 输入码字：6，对应词条：6; 输出词条: 6; 新词条：146
词典中最大码字：347; 输入码字：8，对应词条：8; 输出词条: 8; 新词条：68
词典中最大码字：348; 输入码字：347，对应词条：6-8; 输出词条: 6-8; 新词条：86
词典中最大码字：349; 输入码字：5，对应词条：5; 输出词条: 5; 新词条：6-85
词典中最大码字：350; 输入码字：8，对应词条：8; 输出词条: 8; 新词条：58
词典中最大码字：351; 输入码字：0，对应词条：0; 输出词条: 0; 新词条：80
词典中最大码字：352; 输入码字：5，对应词条：5; 输出词条: 5; 新词条：05
词典中最大码字：353; 输入码字：0，对应词条：0; 输出词条: 0; 新词条：50
词典中最大码字：354; 输入码字：354，码表尚未生成, entry = 0; 输出词条: 0; 新词条：00
词典中最大码字：355; 输入码字：355，码表尚未生成, entry = 0-0; 输出词条: 0-0; 新词条：0-00
词典中最大码字：356; 输入码字：356，码表尚未生成, entry = 0-0-0; 输出词条: 0-0-0; 新词条：0-0-00
词典中最大码字：357; 输入码字：355，对应词条：0-0-0; 输出词条: 0-0-0; 新词条：0-0-0-00
词典中最大码字：358; 输入码字：353，对应词条：5-0; 输出词条: 5-0; 新词条：0-0-05
词典中最大码字：359; 输入码字：6，对应词条：6; 输出词条: 6; 新词条：5-06
词典中最大码字：360; 输入码字：350，对应词条：5-8; 输出词条: 5-8; 新词条：65
词典中最大码字：361; 输入码字：347，对应词条：6-8; 输出词条: 6-8; 新词条：5-86
词典中最大码字：362; 输入码字：345，对应词条：6-14; 输出词条: 6-14; 新词条：6-86
词典中最大码字：363; 输入码字：345，对应词条：6-14; 输出词条: 6-14; 新词条：6-146
词典中最大码字：364; 输入码字：12，对应词条：12; 输出词条: 12; 新词条：6-1412
词典中最大码字：365; 输入码字：341，对应词条：15-12; 输出词条: 15-12; 新词条：1215
词典中最大码字：366; 输入码字：340，对应词条：15-15; 输出词条: 15-15; 新词条：15-1215
词典中最大码字：367; 输入码字：339，对应词条：20-15; 输出词条: 20-15; 新词条：15-1520
词典中最大码字：368; 输入码字：20，对应词条：20; 输出词条: 20; 新词条：20-1520
词典中最大码字：369; 输入码字：336，对应词条：20-21; 输出词条: 20-21; 新词条：2020
词典中最大码字：370; 输入码字：334，对应词条：21-21-21; 输出词条: 21-21-21; 新词条：20-2121
词典中最大码字：371; 输入码字：29，对应词条：29; 输出词条: 29; 新词条：21-21-2129
词典中最大码字：372; 输入码字：21，对应词条：21; 输出词条: 21; 新词条：2921
词典中最大码字：373; 输入码字：328，对应词条：29-26; 输出词条: 29-26; 新词条：2129
词典中最大码字：374; 输入码字：374，码表尚未生成, entry = 29-26; 输出词条: 29-26; 新词条：29-2629
词典中最大码字：375; 输入码字：26，对应词条：26; 输出词条: 26; 新词条：29-26-2926
词典中最大码字：376; 输入码字：324，对应词条：34-27; 输出词条: 34-27; 新词条：2634
词典中最大码字：377; 输入码字：34，对应词条：34; 输出词条: 34; 新词条：34-2734
词典中最大码字：378; 输入码字：322，对应词条：34-35; 输出词条: 34-35; 新词条：3434
词典中最大码字：379; 输入码字：322，对应词条：34-35; 输出词条: 34-35; 新词条：34-3534
词典中最大码字：380; 输入码字：35，对应词条：35; 输出词条: 35; 新词条：34-3535
词典中最大码字：381; 输入码字：317，对应词条：41-35; 输出词条: 41-35; 新词条：3541
词典中最大码字：382; 输入码字：316，对应词条：41-41-41; 输出词条: 41-41-41; 新词条：41-3541
词典中最大码字：383; 输入码字：316，对应词条：41-41-41; 输出词条: 41-41-41; 新词条：41-41-4141
词典中最大码字：384; 输入码字：310，对应词条：49-42; 输出词条: 49-42; 新词条：41-41-4149
词典中最大码字：385; 输入码字：49，对应词条：49; 输出词条: 49; 新词条：49-4249
词典中最大码字：386; 输入码字：307，对应词条：46-50; 输出词条: 46-50; 新词条：4946
词典中最大码字：387; 输入码字：307，对应词条：46-50; 输出词条: 46-50; 新词条：46-5046
词典中最大码字：388; 输入码字：47，对应词条：47; 输出词条: 47; 新词条：46-5047
词典中最大码字：389; 输入码字：303，对应词条：55-47; 输出词条: 55-47; 新词条：4755
词典中最大码字：390; 输入码字：301，对应词条：55-53; 输出词条: 55-53; 新词条：55-4755
词典中最大码字：391; 输入码字：301，对应词条：55-53; 输出词条: 55-53; 新词条：55-5355
词典中最大码字：392; 输入码字：298，对应词条：56-53; 输出词条: 56-53; 新词条：55-5356
词典中最大码字：393; 输入码字：61，对应词条：61; 输出词条: 61; 新词条：56-5361
词典中最大码字：394; 输入码字：54，对应词条：54; 输出词条: 54; 新词条：6154
词典中最大码字：395; 输入码字：62，对应词条：62; 输出词条: 62; 新词条：5462
词典中最大码字：396; 输入码字：295，对应词条：58-62; 输出词条: 58-62; 新词条：6258
词典中最大码字：397; 输入码字：292，对应词条：59-62; 输出词条: 59-62; 新词条：58-6259
词典中最大码字：398; 输入码字：290，对应词条：59-63; 输出词条: 59-63; 新词条：59-6259
词典中最大码字：399; 输入码字：59，对应词条：59; 输出词条: 59; 新词条：59-6359
词典中最大码字：400; 输入码字：67，对应词条：67; 输出词条: 67; 新词条：5967
词典中最大码字：401; 输入码字：286，对应词条：65-68; 输出词条: 65-68; 新词条：6765
词典中最大码字：402; 输入码字：286，对应词条：65-68; 输出词条: 65-68; 新词条：65-6865
词典中最大码字：403; 输入码字：66，对应词条：66; 输出词条: 66; 新词条：65-6866
词典中最大码字：404; 输入码字：69，对应词条：69; 输出词条: 69; 新词条：6669
词典中最大码字：405; 输入码字：66，对应词条：66; 输出词条: 66; 新词条：6966
词典中最大码字：406; 输入码字：281，对应词条：74-71; 输出词条: 74-71; 新词条：6674
